2,烟火检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/e0b3f895d76545f2ad96ba5eed8a29a6_1752652501056.jpeg,识别实验室内是否存在明火或烟雾等火灾前兆，防范火灾事故。,2025-07-12 01:50:37
3,杂物堆积检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/b43a9991a55640388359ec456dba5ae6_1752652623696.jpeg,监测走道、桌面等区域是否堆放杂物，预防绊倒、阻塞等隐患。,2025-07-12 01:50:37
4,卫生脏乱检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/dd8d472c684c4bae8e7905e3c30f5644_1752652771055.jpg,检测地面或工作台是否存在明显污渍、垃圾，保障良好实验环境。,2025-07-12 01:50:37
5,未关灯检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/ca0478b5e4494dc58b9584cb2efde45a_1752652832582.jpg,识别实验室在非工作时段灯光未关闭，提醒节能与安全。,2025-07-12 01:50:37
6,未关门检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/14a2dbc3bcc842dcbe8b521e88458f32_1752652883345.jpeg,判断实验室门是否开启状态，避免外来干扰或危险因素进入。,2025-07-12 01:50:37
7,消防通道占用检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/91d71cfce2e44f76952e23dc540efb63_1752652933946.jpeg,监测安全出口或消防通道是否被物品占用，保障紧急疏散通畅。,2025-07-12 01:50:37
8,未穿实验服检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/47754897932c4a48aad13a5ac201de5e_1752652984655.jpg,识别人员是否未按规定穿着实验服，防止化学品伤害。,2025-07-12 01:50:37
9,未戴口罩检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/c991ed415c204ba1aac08f9594bc236f_1752653007645.jpg,检测人员是否未佩戴口罩，避免有害气体或病原体吸入。,2025-07-12 01:50:37
10,未戴手套检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/f3ecf5e5258949f29651020cd6354186_1752653044047.jpg,识别操作人员是否未戴防护手套，预防化学灼伤或污染。,2025-07-12 01:50:37
11,未带护目镜检测,1,http://10.21.49.68:30923/ai-video-monitor-platform/algorithm-mall-picture/4de638446e244597a278cd7765176d61_1752653066182.jpeg,检测是否未佩戴护目镜，避免飞溅物对眼睛造成伤害。,2025-07-12 01:50:37
